Variant,Age,Sex,Year,Population projection by age and sex 2026-2075
Low variant L2,Total,Males,2040,244262
Low variant L2,Total,Males,2041,246106
Low variant L2,Total,Males,2042,247841
Low variant L2,Total,Males,2043,249394
Low variant L2,Total,Males,2044,250826
Low variant L2,Total,Males,2045,252120
Low variant L2,Total,Males,2046,253298
Low variant L2,Total,Males,2047,254341
Low variant L2,Total,Males,2048,255055
Low variant L2,Total,Males,2049,255707
Low variant L2,Total,Males,2050,256252
Low variant L2,Total,Males,2051,256659
Low variant L2,Total,Males,2052,256990
Low variant L2,Total,Males,2053,257245
Low variant L2,Total,Males,2054,257383
Low variant L2,Total,Males,2055,257406
Low variant L2,Total,Males,2056,257258
Low variant L2,Total,Males,2057,256956
Low variant L2,Total,Males,2058,256591
Low variant L2,Total,Males,2059,256175
Low variant L2,Total,Males,2060,255738
Low variant L2,Total,Males,2061,255268
Low variant L2,Total,Males,2062,254692
Low variant L2,Total,Males,2063,254058
Low variant L2,Total,Males,2064,253244
Low variant L2,Total,Males,2065,252348
Low variant L2,Total,Males,2066,251351
Low variant L2,Total,Males,2067,250240
Low variant L2,Total,Males,2068,248997
Low variant L2,Total,Males,2069,247720
Low variant L2,Total,Males,2070,246352
Low variant L2,Total,Males,2071,244902
Low variant L2,Total,Males,2072,243339
Low variant L2,Total,Males,2073,241618
Low variant L2,Total,Males,2074,239820
Low variant L2,Total,Females,2026,189420
Low variant L2,Total,Females,2027,192026
Low variant L2,Total,Females,2028,194581
Low variant L2,Total,Females,2029,197079
Low variant L2,Total,Females,2030,199542
Low variant L2,Total,Females,2031,201927
Low variant L2,Total,Females,2032,204211
Low variant L2,Total,Females,2033,206364
Low variant L2,Total,Females,2034,208418
Low variant L2,Total,Females,2035,210429
Low variant L2,Total,Females,2036,212311
Low variant L2,Total,Females,2037,214057
Low variant L2,Total,Females,2038,215739
Low variant L2,Total,Females,2039,217302
Low variant L2,Total,Females,2040,218760
Low variant L2,Total,Females,2041,220051
Low variant L2,Total,Females,2042,221244
Low variant L2,Total,Females,2043,222351
Low variant L2,Total,Females,2044,223359
Low variant L2,Total,Females,2045,224235
Low variant L2,Total,Females,2046,225026
Low variant L2,Total,Females,2047,225717
Low variant L2,Total,Females,2048,226166
Low variant L2,Total,Females,2049,226520
Low variant L2,Total,Females,2050,226800
Low variant L2,Total,Females,2051,227037
Low variant L2,Total,Females,2052,227122
Low variant L2,Total,Females,2053,227151
Low variant L2,Total,Females,2054,227169
Low variant L2,Total,Females,2055,226998
Low variant L2,Total,Females,2056,226775
Low variant L2,Total,Females,2057,226527
Low variant L2,Total,Females,2058,226182
Low variant L2,Total,Females,2059,225819
Low variant L2,Total,Females,2060,225404
Low variant L2,Total,Females,2061,224953
Low variant L2,Total,Females,2062,224377
Low variant L2,Total,Females,2063,223760
Low variant L2,Total,Females,2064,223174
Low variant L2,Total,Females,2065,222485
Low variant L2,Total,Females,2066,221768
Low variant L2,Total,Females,2067,220980
Low variant L2,Total,Females,2068,220075
Low variant L2,Total,Females,2069,219137
Low variant L2,Total,Females,2070,218094
Low variant L2,Total,Females,2071,216959
Low variant L2,Total,Females,2072,215767
Low variant L2,Total,Females,2073,214494
Low variant L2,Total,Females,2074,213159
Low variant L2,Under 1 year,Total,2026,4551
Low variant L2,Under 1 year,Total,2027,4601
Low variant L2,Under 1 year,Total,2028,4638
Low variant L2,Under 1 year,Total,2029,4661
Low variant L2,Under 1 year,Total,2030,4685
Low variant L2,Under 1 year,Total,2031,4699
Low variant L2,Under 1 year,Total,2032,4705
Low variant L2,Under 1 year,Total,2033,4698
Low variant L2,Under 1 year,Total,2034,4688
Low variant L2,Under 1 year,Total,2035,4668
Low variant L2,Under 1 year,Total,2036,4648
Low variant L2,Under 1 year,Total,2037,4629
Low variant L2,Under 1 year,Total,2038,4605
Low variant L2,Under 1 year,Total,2039,4567
Low variant L2,Under 1 year,Total,2040,4521
Low variant L2,Under 1 year,Total,2041,4469
Low variant L2,Under 1 year,Total,2042,4421
Low variant L2,Under 1 year,Total,2043,4367
Low variant L2,Under 1 year,Total,2044,4306
Low variant L2,Under 1 year,Total,2045,4236
Low variant L2,Under 1 year,Total,2046,4175
Low variant L2,Under 1 year,Total,2047,4109
Low variant L2,Under 1 year,Total,2048,4043
Low variant L2,Under 1 year,Total,2049,3973
Low variant L2,Under 1 year,Total,2050,3911
Low variant L2,Under 1 year,Total,2051,3840
Low variant L2,Under 1 year,Total,2052,3781
Low variant L2,Under 1 year,Total,2053,3713
Low variant L2,Under 1 year,Total,2054,3646
Low variant L2,Under 1 year,Total,2055,3586
Low variant L2,Under 1 year,Total,2056,3528
Low variant L2,Under 1 year,Total,2057,3479
Low variant L2,Under 1 year,Total,2058,3436
Low variant L2,Under 1 year,Total,2059,3396
Low variant L2,Under 1 year,Total,2060,3346
Low variant L2,Under 1 year,Total,2061,3306
Low variant L2,Under 1 year,Total,2062,3259
Low variant L2,Under 1 year,Total,2063,3222
Low variant L2,Under 1 year,Total,2064,3174
Low variant L2,Under 1 year,Total,2065,3135
Low variant L2,Under 1 year,Total,2066,3085
Low variant L2,Under 1 year,Total,2067,3044
Low variant L2,Under 1 year,Total,2068,2994
Low variant L2,Under 1 year,Total,2069,2948
Low variant L2,Under 1 year,Total,2070,2896
Low variant L2,Under 1 year,Total,2071,2844
Low variant L2,Under 1 year,Total,2072,2783
Low variant L2,Under 1 year,Total,2073,2724
Low variant L2,Under 1 year,Total,2074,2668
Low variant L2,Under 1 year,Males,2026,2368
Low variant L2,Under 1 year,Males,2027,2394
Low variant L2,Under 1 year,Males,2028,2412
Low variant L2,Under 1 year,Males,2029,2423
Low variant L2,Under 1 year,Males,2030,2438
Low variant L2,Under 1 year,Males,2031,2443
Low variant L2,Under 1 year,Males,2032,2446
Low variant L2,Under 1 year,Males,2033,2444
Low variant L2,Under 1 year,Males,2034,2438
Low variant L2,Under 1 year,Males,2035,2427
Low variant L2,Under 1 year,Males,2036,2418
Low variant L2,Under 1 year,Males,2037,2408
Low variant L2,Under 1 year,Males,2038,2396
Low variant L2,Under 1 year,Males,2039,2375
Low variant L2,Under 1 year,Males,2040,2350
Low variant L2,Under 1 year,Males,2041,2324
Low variant L2,Under 1 year,Males,2042,2301
Low variant L2,Under 1 year,Males,2043,2272
Low variant L2,Under 1 year,Males,2044,2240
Low variant L2,Under 1 year,Males,2045,2202
Low variant L2,Under 1 year,Males,2046,2170
Low variant L2,Under 1 year,Males,2047,2136
Low variant L2,Under 1 year,Males,2048,2101
Low variant L2,Under 1 year,Males,2049,2066
Low variant L2,Under 1 year,Males,2050,2034
Low variant L2,Under 1 year,Males,2051,1996
Low variant L2,Under 1 year,Males,2052,1965
Low variant L2,Under 1 year,Males,2053,1932
Low variant L2,Under 1 year,Males,2054,1896
Low variant L2,Under 1 year,Males,2055,1865
Low variant L2,Under 1 year,Males,2056,1836
Low variant L2,Under 1 year,Males,2057,1809
Low variant L2,Under 1 year,Males,2058,1788
Low variant L2,Under 1 year,Males,2059,1767
Low variant L2,Under 1 year,Males,2060,1740
Low variant L2,Under 1 year,Males,2061,1721
Low variant L2,Under 1 year,Males,2062,1695
Low variant L2,Under 1 year,Males,2063,1676
Low variant L2,Under 1 year,Males,2064,1652
Low variant L2,Under 1 year,Males,2065,1630
Low variant L2,Under 1 year,Males,2066,1603
Low variant L2,Under 1 year,Males,2067,1583
Low variant L2,Under 1 year,Males,2068,1557
Low variant L2,Under 1 year,Males,2069,1534
Low variant L2,Under 1 year,Males,2070,1506
Low variant L2,Under 1 year,Males,2071,1479
Low variant L2,Under 1 year,Males,2072,1446
Low variant L2,Under 1 year,Males,2073,1416
Low variant L2,Under 1 year,Males,2074,1388
Low variant L2,Under 1 year,Females,2026,2183
Low variant L2,Under 1 year,Females,2027,2207
Low variant L2,Under 1 year,Females,2028,2226
Low variant L2,Under 1 year,Females,2029,2238
Low variant L2,Under 1 year,Females,2030,2247
Low variant L2,Under 1 year,Females,2031,2256
Low variant L2,Under 1 year,Females,2032,2259
Low variant L2,Under 1 year,Females,2033,2254
Low variant L2,Under 1 year,Females,2034,2250
Low variant L2,Under 1 year,Females,2035,2241
Low variant L2,Under 1 year,Females,2036,2230
Low variant L2,Under 1 year,Females,2037,2221
Low variant L2,Under 1 year,Females,2038,2209
Low variant L2,Under 1 year,Females,2039,2192
Low variant L2,Under 1 year,Females,2040,2171
Low variant L2,Under 1 year,Females,2041,2145
Low variant L2,Under 1 year,Females,2042,2120
Low variant L2,Under 1 year,Females,2043,2095
Low variant L2,Under 1 year,Females,2044,2066
Low variant L2,Under 1 year,Females,2045,2034
Low variant L2,Under 1 year,Females,2046,2005
Low variant L2,Under 1 year,Females,2047,1973
Low variant L2,Under 1 year,Females,2048,1942
Low variant L2,Under 1 year,Females,2049,1907
Low variant L2,Under 1 year,Females,2050,1877
Low variant L2,Under 1 year,Females,2051,1844
Low variant L2,Under 1 year,Females,2052,1816
Low variant L2,Under 1 year,Females,2053,1781
Low variant L2,Under 1 year,Females,2054,1750
Low variant L2,Under 1 year,Females,2055,1721
Low variant L2,Under 1 year,Females,2056,1692
Low variant L2,Under 1 year,Females,2057,1670
Low variant L2,Under 1 year,Females,2058,1648
Low variant L2,Under 1 year,Females,2059,1629
Low variant L2,Under 1 year,Females,2060,1606
Low variant L2,Under 1 year,Females,2061,1585
Low variant L2,Under 1 year,Females,2062,1564
Low variant L2,Under 1 year,Females,2063,1546
Low variant L2,Under 1 year,Females,2064,1522
Low variant L2,Under 1 year,Females,2065,1505
Low variant L2,Under 1 year,Females,2066,1482
Low variant L2,Under 1 year,Females,2067,1461
Low variant L2,Under 1 year,Females,2068,1437
Low variant L2,Under 1 year,Females,2069,1414
Low variant L2,Under 1 year,Females,2070,1390
Low variant L2,Under 1 year,Females,2071,1365
Low variant L2,Under 1 year,Females,2072,1337
Low variant L2,Under 1 year,Females,2073,1308
Low variant L2,Under 1 year,Females,2074,1280
Low variant L2,1 year,Total,2026,4502
Low variant L2,1 year,Total,2027,4554
Low variant L2,1 year,Total,2028,4601
Low variant L2,1 year,Total,2029,4642
Low variant L2,1 year,Total,2030,4664
Low variant L2,1 year,Total,2031,4685
Low variant L2,1 year,Total,2032,4701
Low variant L2,1 year,Total,2033,4706
Low variant L2,1 year,Total,2034,4700
Low variant L2,1 year,Total,2035,4686
Low variant L2,1 year,Total,2036,4667
Low variant L2,1 year,Total,2037,4647
Low variant L2,1 year,Total,2038,4630
Low variant L2,1 year,Total,2039,4602
Low variant L2,1 year,Total,2040,4568
Low variant L2,1 year,Total,2041,4518
Low variant L2,1 year,Total,2042,4467
Low variant L2,1 year,Total,2043,4418
Low variant L2,1 year,Total,2044,4363
Low variant L2,1 year,Total,2045,4302
Low variant L2,1 year,Total,2046,4231
Low variant L2,1 year,Total,2047,4173
Low variant L2,1 year,Total,2048,4106
Low variant L2,1 year,Total,2049,4040
Low variant L2,1 year,Total,2050,3968
Low variant L2,1 year,Total,2051,3906
Low variant L2,1 year,Total,2052,3836
Low variant L2,1 year,Total,2053,3777
Low variant L2,1 year,Total,2054,3706
Low variant L2,1 year,Total,2055,3640
Low variant L2,1 year,Total,2056,3579
Low variant L2,1 year,Total,2057,3524
Low variant L2,1 year,Total,2058,3474
Low variant L2,1 year,Total,2059,3431
Low variant L2,1 year,Total,2060,3391
Low variant L2,1 year,Total,2061,3339
Low variant L2,1 year,Total,2062,3297
Low variant L2,1 year,Total,2063,3253
Low variant L2,1 year,Total,2064,3216
Low variant L2,1 year,Total,2065,3168
Low variant L2,1 year,Total,2066,3130
Low variant L2,1 year,Total,2067,3080
Low variant L2,1 year,Total,2068,3039
Low variant L2,1 year,Total,2069,2988
Low variant L2,1 year,Total,2070,2942
Low variant L2,1 year,Total,2071,2892
Low variant L2,1 year,Total,2072,2840
Low variant L2,1 year,Total,2073,2779
Low variant L2,1 year,Total,2074,2721
Low variant L2,1 year,Males,2026,2344
Low variant L2,1 year,Males,2027,2370
Low variant L2,1 year,Males,2028,2394
Low variant L2,1 year,Males,2029,2414
Low variant L2,1 year,Males,2030,2426
Low variant L2,1 year,Males,2031,2438
Low variant L2,1 year,Males,2032,2444
Low variant L2,1 year,Males,2033,2447
Low variant L2,1 year,Males,2034,2445
Low variant L2,1 year,Males,2035,2437
Low variant L2,1 year,Males,2036,2428
Low variant L2,1 year,Males,2037,2419
Low variant L2,1 year,Males,2038,2410
Low variant L2,1 year,Males,2039,2395
Low variant L2,1 year,Males,2040,2376
Low variant L2,1 year,Males,2041,2349
Low variant L2,1 year,Males,2042,2324
Low variant L2,1 year,Males,2043,2300
Low variant L2,1 year,Males,2044,2271
Low variant L2,1 year,Males,2045,2237
Low variant L2,1 year,Males,2046,2198
Low variant L2,1 year,Males,2047,2168
Low variant L2,1 year,Males,2048,2134
Low variant L2,1 year,Males,2049,2098
Low variant L2,1 year,Males,2050,2063
Low variant L2,1 year,Males,2051,2031
Low variant L2,1 year,Males,2052,1993
Low variant L2,1 year,Males,2053,1964
Low variant L2,1 year,Males,2054,1929
Low variant L2,1 year,Males,2055,1894
Low variant L2,1 year,Males,2056,1862
Low variant L2,1 year,Males,2057,1835
Low variant L2,1 year,Males,2058,1808
Low variant L2,1 year,Males,2059,1787
Low variant L2,1 year,Males,2060,1765
Low variant L2,1 year,Males,2061,1738
Low variant L2,1 year,Males,2062,1717
Low variant L2,1 year,Males,2063,1692
Low variant L2,1 year,Males,2064,1673
Low variant L2,1 year,Males,2065,1649
Low variant L2,1 year,Males,2066,1627
Low variant L2,1 year,Males,2067,1600
Low variant L2,1 year,Males,2068,1581
Low variant L2,1 year,Males,2069,1554
Low variant L2,1 year,Males,2070,1531
Low variant L2,1 year,Males,2071,1504
Low variant L2,1 year,Males,2072,1477
Low variant L2,1 year,Males,2073,1444
Low variant L2,1 year,Males,2074,1414
Low variant L2,1 year,Females,2026,2158
Low variant L2,1 year,Females,2027,2184
Low variant L2,1 year,Females,2028,2207
Low variant L2,1 year,Females,2029,2228
Low variant L2,1 year,Females,2030,2238
Low variant L2,1 year,Females,2031,2247
Low variant L2,1 year,Females,2032,2257
Low variant L2,1 year,Females,2033,2259
Low variant L2,1 year,Females,2034,2255
Low variant L2,1 year,Females,2035,2249
Low variant L2,1 year,Females,2036,2239
Low variant L2,1 year,Females,2037,2228
Low variant L2,1 year,Females,2038,2220
Low variant L2,1 year,Females,2039,2207
Low variant L2,1 year,Females,2040,2192
Low variant L2,1 year,Females,2041,2169
Low variant L2,1 year,Females,2042,2143
Low variant L2,1 year,Females,2043,2118
Low variant L2,1 year,Females,2044,2092
Low variant L2,1 year,Females,2045,2065
Low variant L2,1 year,Females,2046,2033
Low variant L2,1 year,Females,2047,2005
Low variant L2,1 year,Females,2048,1972
Low variant L2,1 year,Females,2049,1942
Low variant L2,1 year,Females,2050,1905
Low variant L2,1 year,Females,2051,1875
Low variant L2,1 year,Females,2052,1843
Low variant L2,1 year,Females,2053,1813
Low variant L2,1 year,Females,2054,1777
Low variant L2,1 year,Females,2055,1746
Low variant L2,1 year,Females,2056,1717
Low variant L2,1 year,Females,2057,1689
Low variant L2,1 year,Females,2058,1666
Low variant L2,1 year,Females,2059,1644
Low variant L2,1 year,Females,2060,1626
Low variant L2,1 year,Females,2061,1601
Low variant L2,1 year,Females,2062,1580
Low variant L2,1 year,Females,2063,1561
Low variant L2,1 year,Females,2064,1543
Low variant L2,1 year,Females,2065,1519
Low variant L2,1 year,Females,2066,1503
Low variant L2,1 year,Females,2067,1480
Low variant L2,1 year,Females,2068,1458
Low variant L2,1 year,Females,2069,1434
Low variant L2,1 year,Females,2070,1411
Low variant L2,1 year,Females,2071,1388
Low variant L2,1 year,Females,2072,1363
Low variant L2,1 year,Females,2073,1335
Low variant L2,1 year,Females,2074,1307
Low variant L2,2 years,Total,2026,4455
Low variant L2,2 years,Total,2027,4517
Low variant L2,2 years,Total,2028,4570
Low variant L2,2 years,Total,2029,4613
Low variant L2,2 years,Total,2030,4655
Low variant L2,2 years,Total,2031,4675
Low variant L2,2 years,Total,2032,4695
Low variant L2,2 years,Total,2033,4712
Low variant L2,2 years,Total,2034,4717
Low variant L2,2 years,Total,2035,4709
Low variant L2,2 years,Total,2036,4692
Low variant L2,2 years,Total,2037,4675
Low variant L2,2 years,Total,2038,4656
Low variant L2,2 years,Total,2039,4633
Low variant L2,2 years,Total,2040,4610
Low variant L2,2 years,Total,2041,4571
Low variant L2,2 years,Total,2042,4522
Low variant L2,2 years,Total,2043,4470
Low variant L2,2 years,Total,2044,4423
Low variant L2,2 years,Total,2045,4364
Low variant L2,2 years,Total,2046,4302
Low variant L2,2 years,Total,2047,4232
Low variant L2,2 years,Total,2048,4174
Low variant L2,2 years,Total,2049,4104
Low variant L2,2 years,Total,2050,4037
Low variant L2,2 years,Total,2051,3967
Low variant L2,2 years,Total,2052,3906
Low variant L2,2 years,Total,2053,3837
Low variant L2,2 years,Total,2054,3773
Low variant L2,2 years,Total,2055,3702
Low variant L2,2 years,Total,2056,3636
Low variant L2,2 years,Total,2057,3577
Low variant L2,2 years,Total,2058,3520
Low variant L2,2 years,Total,2059,3472
Low variant L2,2 years,Total,2060,3428
Low variant L2,2 years,Total,2061,3388
Low variant L2,2 years,Total,2062,3334
Low variant L2,2 years,Total,2063,3293
Low variant L2,2 years,Total,2064,3248
Low variant L2,2 years,Total,2065,3212
Low variant L2,2 years,Total,2066,3164
Low variant L2,2 years,Total,2067,3127
Low variant L2,2 years,Total,2068,3076
Low variant L2,2 years,Total,2069,3036
Low variant L2,2 years,Total,2070,2985
Low variant L2,2 years,Total,2071,2938
Low variant L2,2 years,Total,2072,2887
Low variant L2,2 years,Total,2073,2835
Low variant L2,2 years,Total,2074,2774
Low variant L2,2 years,Males,2026,2322
Low variant L2,2 years,Males,2027,2355
Low variant L2,2 years,Males,2028,2381
Low variant L2,2 years,Males,2029,2402
Low variant L2,2 years,Males,2030,2423
Low variant L2,2 years,Males,2031,2433
Low variant L2,2 years,Males,2032,2445
Low variant L2,2 years,Males,2033,2452
Low variant L2,2 years,Males,2034,2454
Low variant L2,2 years,Males,2035,2451
Low variant L2,2 years,Males,2036,2442
Low variant L2,2 years,Males,2037,2434
Low variant L2,2 years,Males,2038,2425
Low variant L2,2 years,Males,2039,2413
Low variant L2,2 years,Males,2040,2400
Low variant L2,2 years,Males,2041,2379
Low variant L2,2 years,Males,2042,2353
Low variant L2,2 years,Males,2043,2326
Low variant L2,2 years,Males,2044,2303
Low variant L2,2 years,Males,2045,2272
Low variant L2,2 years,Males,2046,2237
Low variant L2,2 years,Males,2047,2199
Low variant L2,2 years,Males,2048,2169
Low variant L2,2 years,Males,2049,2133
Low variant L2,2 years,Males,2050,2098
Low variant L2,2 years,Males,2051,2063
Low variant L2,2 years,Males,2052,2032
Low variant L2,2 years,Males,2053,1993
Low variant L2,2 years,Males,2054,1961
Low variant L2,2 years,Males,2055,1927
Low variant L2,2 years,Males,2056,1892
Low variant L2,2 years,Males,2057,1862
Low variant L2,2 years,Males,2058,1833
Low variant L2,2 years,Males,2059,1807
Low variant L2,2 years,Males,2060,1785
Low variant L2,2 years,Males,2061,1764
Low variant L2,2 years,Males,2062,1737
Low variant L2,2 years,Males,2063,1716
Low variant L2,2 years,Males,2064,1690
Low variant L2,2 years,Males,2065,1671
Low variant L2,2 years,Males,2066,1647
Low variant L2,2 years,Males,2067,1626
Low variant L2,2 years,Males,2068,1599
Low variant L2,2 years,Males,2069,1580
Low variant L2,2 years,Males,2070,1553
Low variant L2,2 years,Males,2071,1529
Low variant L2,2 years,Males,2072,1502
Low variant L2,2 years,Males,2073,1475
Low variant L2,2 years,Males,2074,1442
Low variant L2,2 years,Females,2026,2133
Low variant L2,2 years,Females,2027,2162
Low variant L2,2 years,Females,2028,2189
Low variant L2,2 years,Females,2029,2211
Low variant L2,2 years,Females,2030,2232
Low variant L2,2 years,Females,2031,2242
Low variant L2,2 years,Females,2032,2250
Low variant L2,2 years,Females,2033,2260
Low variant L2,2 years,Females,2034,2263
Low variant L2,2 years,Females,2035,2258
Low variant L2,2 years,Females,2036,2250
Low variant L2,2 years,Females,2037,2241
Low variant L2,2 years,Females,2038,2231
Low variant L2,2 years,Females,2039,2220
Low variant L2,2 years,Females,2040,2210
Low variant L2,2 years,Females,2041,2192
Low variant L2,2 years,Females,2042,2169
Low variant L2,2 years,Females,2043,2144
Low variant L2,2 years,Females,2044,2120
Low variant L2,2 years,Females,2045,2092
Low variant L2,2 years,Females,2046,2065
Low variant L2,2 years,Females,2047,2033
Low variant L2,2 years,Females,2048,2005
Low variant L2,2 years,Females,2049,1971
Low variant L2,2 years,Females,2050,1939
Low variant L2,2 years,Females,2051,1904
Low variant L2,2 years,Females,2052,1874
Low variant L2,2 years,Females,2053,1844
Low variant L2,2 years,Females,2054,1812
Low variant L2,2 years,Females,2055,1775
Low variant L2,2 years,Females,2056,1744
Low variant L2,2 years,Females,2057,1715
Low variant L2,2 years,Females,2058,1687
Low variant L2,2 years,Females,2059,1665
Low variant L2,2 years,Females,2060,1643
Low variant L2,2 years,Females,2061,1624
Low variant L2,2 years,Females,2062,1597
Low variant L2,2 years,Females,2063,1577
Low variant L2,2 years,Females,2064,1558
Low variant L2,2 years,Females,2065,1541
Low variant L2,2 years,Females,2066,1517
Low variant L2,2 years,Females,2067,1501
Low variant L2,2 years,Females,2068,1477
Low variant L2,2 years,Females,2069,1456
Low variant L2,2 years,Females,2070,1432
Low variant L2,2 years,Females,2071,1409
Low variant L2,2 years,Females,2072,1385
Low variant L2,2 years,Females,2073,1360
Low variant L2,2 years,Females,2074,1332
Low variant L2,3 years,Total,2026,4454
Low variant L2,3 years,Total,2027,4471
Low variant L2,3 years,Total,2028,4534
Low variant L2,3 years,Total,2029,4586
Low variant L2,3 years,Total,2030,4628
Low variant L2,3 years,Total,2031,4670
Low variant L2,3 years,Total,2032,4692
Low variant L2,3 years,Total,2033,4709
Low variant L2,3 years,Total,2034,4725
Low variant L2,3 years,Total,2035,4730
Low variant L2,3 years,Total,2036,4721
Low variant L2,3 years,Total,2037,4702
Low variant L2,3 years,Total,2038,4684
Low variant L2,3 years,Total,2039,4664
Low variant L2,3 years,Total,2040,4640
Low variant L2,3 years,Total,2041,4618
Low variant L2,3 years,Total,2042,4577
Low variant L2,3 years,Total,2043,4528
Low variant L2,3 years,Total,2044,4475
Low variant L2,3 years,Total,2045,4429
Low variant L2,3 years,Total,2046,4366
Low variant L2,3 years,Total,2047,4306
Low variant L2,3 years,Total,2048,4235
Low variant L2,3 years,Total,2049,4179
Low variant L2,3 years,Total,2050,4105
Low variant L2,3 years,Total,2051,4038
Low variant L2,3 years,Total,2052,3968
Low variant L2,3 years,Total,2053,3905
Low variant L2,3 years,Total,2054,3835
Low variant L2,3 years,Total,2055,3775
Low variant L2,3 years,Total,2056,3705
Low variant L2,3 years,Total,2057,3634
Low variant L2,3 years,Total,2058,3573
Low variant L2,3 years,Total,2059,3517
Low variant L2,3 years,Total,2060,3470
Low variant L2,3 years,Total,2061,3425
Low variant L2,3 years,Total,2062,3386
Low variant L2,3 years,Total,2063,3334
Low variant L2,3 years,Total,2064,3293
Low variant L2,3 years,Total,2065,3246
Low variant L2,3 years,Total,2066,3210
Low variant L2,3 years,Total,2067,3163
Low variant L2,3 years,Total,2068,3124
Low variant L2,3 years,Total,2069,3075
Low variant L2,3 years,Total,2070,3035
Low variant L2,3 years,Total,2071,2982
Low variant L2,3 years,Total,2072,2936
Low variant L2,3 years,Total,2073,2882
Low variant L2,3 years,Total,2074,2829
Low variant L2,3 years,Males,2026,2340
Low variant L2,3 years,Males,2027,2332
Low variant L2,3 years,Males,2028,2367
Low variant L2,3 years,Males,2029,2392
Low variant L2,3 years,Males,2030,2412
Low variant L2,3 years,Males,2031,2433
Low variant L2,3 years,Males,2032,2443
Low variant L2,3 years,Males,2033,2454
Low variant L2,3 years,Males,2034,2460
Low variant L2,3 years,Males,2035,2463
Low variant L2,3 years,Males,2036,2458
Low variant L2,3 years,Males,2037,2447
Low variant L2,3 years,Males,2038,2440
Low variant L2,3 years,Males,2039,2431
Low variant L2,3 years,Males,2040,2417
Low variant L2,3 years,Males,2041,2405
Low variant L2,3 years,Males,2042,2381
Low variant L2,3 years,Males,2043,2356
Low variant L2,3 years,Males,2044,2328
Low variant L2,3 years,Males,2045,2307
Low variant L2,3 years,Males,2046,2273
Low variant L2,3 years,Males,2047,2240
Low variant L2,3 years,Males,2048,2201
Low variant L2,3 years,Males,2049,2173
Low variant L2,3 years,Males,2050,2135
Low variant L2,3 years,Males,2051,2099
Low variant L2,3 years,Males,2052,2064
Low variant L2,3 years,Males,2053,2033
Low variant L2,3 years,Males,2054,1993
Low variant L2,3 years,Males,2055,1963
Low variant L2,3 years,Males,2056,1929
Low variant L2,3 years,Males,2057,1891
Low variant L2,3 years,Males,2058,1861
Low variant L2,3 years,Males,2059,1833
Low variant L2,3 years,Males,2060,1806
Low variant L2,3 years,Males,2061,1782
Low variant L2,3 years,Males,2062,1763
Low variant L2,3 years,Males,2063,1737
Low variant L2,3 years,Males,2064,1716
Low variant L2,3 years,Males,2065,1690
Low variant L2,3 years,Males,2066,1671
Low variant L2,3 years,Males,2067,1647
Low variant L2,3 years,Males,2068,1625
Low variant L2,3 years,Males,2069,1599
Low variant L2,3 years,Males,2070,1580
